lon,lat,w_median,w_lb68,w_ub68,w_lb95,w_ub95
51.5,34.5,1.05516,1.002402,1.107918,0.949644,1.160676
84.5,36.5,1.057427,1.00455565,1.11029835,0.9516843,1.1631697
49.5,50.5,1.06122,1.008159,1.114281,0.955098,1.167342
61.5,54.5,1.066439,1.01311705,1.11976095,0.9597951,1.1730829
128.5,49.5,1.071482,1.0179079,1.1250561,0.9643338,1.1786302
-54.5,-20.5,1.075198,1.0214381,1.1289579,0.9676782,1.1827178
25.5,12.5,1.081969,1.02787055,1.13606745,0.9737721,1.1901659
-59.5,-17.5,1.088727,1.03429065,1.14316335,0.9798543,1.1975997
139.5,38.5,1.090012,1.0355114,1.1445126,0.9810108,1.1990132
77.5,19.5,1.090463,1.03593985,1.14498615,0.9814167,1.1995093
135.5,-34.5,1.095184,1.0404248,1.1499432,0.9856656,1.2047024
52.5,52.5,1.095266,1.0405027,1.1500293,0.9857394,1.2047926
54.5,51.5,1.095712,1.0409264,1.1504976,0.9861408,1.2052832
75.5,54.5,1.102545,1.04741775,1.15767225,0.9922905,1.2127995
46.5,31.5,1.110601,1.05507095,1.16613105,0.9995409,1.2216611
-61.5,-16.5,1.11968,1.063696,1.175664,1.007712,1.231648
27.5,-30.5,1.121826,1.0657347,1.1779173,1.0096434,1.2340086
27.5,-8.5,1.126276,1.0699622,1.1825898,1.0136484,1.2389036
32.5,10.5,1.126615,1.07028425,1.18294575,1.0139535,1.2392765
151.5,-25.5,1.132137,1.07553015,1.18874385,1.0189233,1.2453507
15.5,-5.5,1.138598,1.0816681,1.1955279,1.0247382,1.2524578
7.5,43.5,1.1426,1.08547,1.19973,1.02834,1.25686
106.5,36.5,1.14272,1.085584,1.199856,1.028448,1.256992
62.5,56.5,1.144229,1.08701755,1.20144045,1.0298061,1.2586519
-56.5,-22.5,1.15222,1.094609,1.209831,1.036998,1.267442
69.5,56.5,1.153606,1.0959257,1.2112863,1.0382454,1.2689666
-7.5,32.5,1.162796,1.1046562,1.2209358,1.0465164,1.2790756
-97.5,18.5,1.166331,1.10801445,1.22464755,1.0496979,1.2829641
132.5,44.5,1.166681,1.10834695,1.22501505,1.0500129,1.2833491
